City,PD,Black People Killed by Police (1/1/2013-12/31/2018),Hispanic People Killed by Police (1/1/2013-12/31/2018),Native American People Killed by Police (1/1/2013-12/31/2018),Asian People Killed by Police (1/1/2013-12/31/2018),Pacific Islanders Killed by Police (1/1/2013-12/31/2018),White People Killed by Police (1/1/2013-12/31/2018),Unknown Race People Killed by Police (1/1/2013-12/31/2018),All People Killed by Police (1/1/2013-12/31/2018),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Population,Black-White Dissimilarity Index (2010),"Violent
crime","Murder and
nonnegligent manslaughter",Violent Crime Rate,Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,reqDe_esc,banChoke&Stanglehold,duty2intervene,warnb4shoot,cantShootVehicles,reqCompRep,reqExhOthMeans,forceContinuum,numPolicies,killings,killingsPerMillion
Albuquerque,Albuquerque Police Department,3,13,,,,11,,27,"545,852","14,878","229,933","20,627","13,674",418,14092,"1,224","10,043","255,055","558,874",28.48,"4,934",30,8.8,5.4,7.1,28.8,6.8,7.3,4.21,1.07,1,0,1,1,1,0,0,1,5,5,9.2
Anaheim,Anaheim Police Department,3,6,,,,3,1,13,"336,265","8,209","92,362",743,"49,210","1,437",50647,628,"6,209","177,467","346,956",27.78,"1,101",14,3.2,4,5.5,52.2,4.6,4.8,11.25,1.04,0,0,1,1,0,0,0,1,3,6,17.8
Anchorage,Anchorage Police Department,,1,2,,,4,3,10,"291,826","15,308","182,814","22,047","23,208","5,776",28984,562,"20,050","22,061","301,306",34.33,"2,605",12,8.6,4,4.9,0,3.1,6.5,0,2.07,1,0,0,0,1,0,0,1,3,3,10.3
Arlington,Arlington Police Department,6,1,,1,,3,1,12,"365,438","67,087","164,022","1,338","24,564",373,24937,597,"7,188","100,269","382,976",39.74,"1,854",13,4.8,3.4,4.7,12.8,2.6,1.4,4.89,0.55,1,0,0,0,1,1,1,1,5,3,8.2
Atlanta,Atlanta Police Department,10,,,,,1,1,12,"420,003","224,316","152,377",754,"13,098",115,13213,739,"6,789","21,815","454,363",74.12,"5,577",93,12.3,20.5,4.1,6.4,0.9,0,6.79,0,0,1,0,0,0,0,0,1,2,4,9.5
Aurora,Aurora Police Department,5,3,,1,,6,2,17,"325,078","49,003","153,715","1,487","15,735",919,16654,677,"10,279","93,263","350,948",28.72,"1,448",11,4.1,3.1,7.5,14.6,5.6,4.6,2.61,0.82,0,0,1,0,1,0,0,1,3,6,18.5
Austin,Austin Police Department,5,5,,,,19,,29,"790,390","60,760","385,271","1,967","49,159",401,49560,"1,448","13,677","277,707","903,924",54.14,"3,581",32,4,3.5,5.2,11.8,7,2.6,1.67,0.37,0,0,1,1,0,0,0,1,3,10,12.7
Bakersfield,Bakersfield Police Department,3,14,,1,,5,,23,"347,483","26,677","131,311","2,265","20,496",357,20853,681,"7,491","158,205","367,406",43.39,"1,678",17,4.6,4.6,9.5,16.1,5.4,12.6,2.95,2.32,0,0,0,1,0,0,0,0,1,7,20.1
Baltimore,Baltimore Police Department,26,,,,,3,1,30,"620,961","392,938","174,120","1,884","14,397",192,14589,942,"10,528","25,960","623,513",68.9,"8,346",211,13.4,33.8,6.9,9.5,2.5,0,3.84,0,0,0,0,1,0,0,1,0,2,7,12.9
Baton Rouge,Baton Rouge Police Department,11,,,,,,,11,"229,493","124,542","86,679",397,"7,469",39,7508,332,"2,382","7,653","229,387",66.94,"2,120",53,9.2,23.1,6.8,12.6,0,0,20,20,0,0,0,0,0,0,1,1,2,3,13.1
Boston,Boston Police Department,8,1,,,,,,9,"617,594","138,073","290,312","1,227","54,846",182,55028,"10,078","14,959","107,917","654,413",69.17,"4,749",53,7.3,8.1,2.1,8.3,0,1.3,20,20,0,1,0,0,1,0,1,1,4,3,4.9
Buffalo,Buffalo Police Department,2,2,,,,1,,5,"261,310","97,637","119,801","1,597","8,313",79,8392,445,"5,919","27,519","258,419",65.89,"3,174",60,12.3,23.2,2.7,2.9,1.2,10.4,2.45,8.71,0,0,0,0,1,0,1,1,3,0,0
Chandler,Chandler Police Department,,2,,,,2,,4,"236,123","10,580","145,724","2,715","19,119",365,19484,369,"5,443","51,808","252,369",17.24,466,1,1.8,0.4,2.4,0,2,5.5,0,2.81,1,0,0,1,0,0,0,1,3,2,8.5
Charlotte,Charlotte-Mecklenburg Police Department,10,3,,,1,5,,19,"731,424","252,007","329,545","2,250","36,115",436,36551,"1,960","13,423","95,688","856,916",53.4,"5,054",47,5.9,5.5,3.7,5.7,2.2,4.5,2.62,2.07,0,0,0,1,0,0,0,1,2,6,8.2
Chicago,Chicago Police Department,54,12,,,,2,4,72,"2,695,598","872,286","854,717","4,097","144,903",557,145460,"4,227","35,949","778,862","2,724,121",82.48,"24,089",411,8.8,15.1,3.8,8.8,0.3,2.2,26.46,6.58,1,0,0,0,1,0,0,1,3,14,5.2
Chula Vista,Chula Vista Police Department,,1,,,,1,,2,"243,916","9,972","49,641",600,"33,581","1,105",34686,360,"6,591","142,066","259,894",22.05,612,7,2.4,2.7,1.2,0,2.9,1,0,0.35,0,0,1,1,0,0,0,0,2,0,0
Cincinnati,Cincinnati Polce Department,8,1,,,,3,,12,"296,943","132,307","142,831",549,"5,434",168,5602,721,"6,625","8,308","297,671",53.42,"2,695",60,9.1,20.2,5.8,8.6,3,17.2,2.88,5.73,1,0,0,1,1,0,1,1,5,6,20.2
Cleveland,Cleveland Police Department,8,,,,,1,,9,"396,815","208,208","132,710",997,"7,213",70,7283,599,"7,484","39,534","388,655",69.02,"5,186",63,13.3,16.2,3.2,5.5,1.1,0,5.1,0,1,1,1,0,1,0,0,1,5,2,5
Columbus,Columbus Division of Police,26,,,,,11,2,39,"787,033","217,694","466,615","1,643","31,734",462,32196,"2,032","22,494","44,359","830,811",53.8,"4,563",83,5.5,10,7.1,17.1,3.4,0,5.07,0,0,1,0,1,0,0,0,1,3,10,12.7
Corpus Christi,Corpus Christi Police Department,1,4,,,,1,,6,"305,215","11,912","101,593",792,"5,398",204,5602,369,"2,766","182,181","319,211",40.15,"2,094",27,6.6,8.5,2.8,12,1.4,3.1,8.53,2.23,1,1,1,1,0,0,1,0,5,2,6.6
Dallas,Dallas Police Department,13,12,,,,11,1,37,"1,197,816","294,159","345,205","3,167","33,609",311,33920,"1,824","12,232","507,309","1,272,396",66.13,"8,457",116,6.6,9.1,4.4,6.3,4.6,3.4,1.39,0.74,1,0,0,0,0,0,1,1,3,7,5.8
Denver,Denver Police Department,1,9,1,2,,7,4,24,"600,158","58,388","313,012","3,525","19,925",495,20420,"1,208","12,640","190,965","665,353",54.69,"3,983",31,6,4.7,5.7,2.4,3.2,6.7,0.77,2.11,1,0,0,1,0,0,1,1,4,7,11.7
Detroit,Detroit Police Department,5,1,,,,,5,11,"713,777","586,573","55,604","1,927","7,436",82,7518,994,"12,482","48,679","684,694",59.17,"13,616",298,19.9,43.5,2.2,1.2,0,2.9,20,20,0,1,0,1,0,0,1,1,4,1,1.4
Durham,Durham Police Department,4,3,,,,1,,8,"228,330","92,285","86,519",611,"11,478",129,11607,616,"4,233","32,459","249,738",47.92,"1,834",21,7.3,8.4,5,6.2,1.7,13.2,3.75,8,1,0,0,0,0,0,0,1,2,1,4.4
Fort Worth,Fort Worth Police Department,5,5,,,,6,5,21,"741,206","136,941","309,312","2,481","27,095",615,27710,993,"11,301","252,468","789,035",54.99,"4,420",48,5.6,6.1,4,5.2,2.8,2.8,1.88,1.02,0,1,0,0,0,0,0,1,2,6,8.1
Fremont,Fremont Police Department,1,1,,2,,,2,6,"214,089","6,743","56,766",458,"107,679","1,064",108743,388,"9,293","31,698","227,575",22.04,284,1,1.2,0.4,4,21.2,0,4.5,20,20,0,0,1,1,0,0,0,0,2,2,9.3
Fresno,Fresno Police Department,1,13,,2,,4,1,21,"494,665","37,885","148,598","3,127","60,939",663,61602,984,"10,414","232,055","513,187",42.01,"2,382",47,4.6,9.2,6.1,3.8,3.8,8,0.98,2.08,0,0,0,1,0,0,0,0,1,7,14.2
Garland,Garland Police Department,2,,,1,,2,,5,"226,876","32,164","83,259",789,"21,162",65,21227,308,"3,345","85,784","236,414",25.05,644,5,2.7,2.1,3.1,8.9,3.4,0,2.59,0,0,0,0,1,0,0,0,0,1,2,8.8
Glendale,Glendale Police Department,2,2,,,,4,,8,"226,721","12,766","116,866","2,707","8,618",355,8973,329,"4,579","80,501","234,006",39.14,905,13,3.9,5.6,5,22.4,4.9,3.5,4.58,0.73,0,0,0,0,0,0,1,1,2,2,8.8
Greensboro,Greensboro Police Department,2,,,1,,1,,4,"269,666","108,233","122,888","1,096","10,711",128,10839,703,"5,571","20,336","282,203",56.62,"1,346",23,4.8,8.2,2.1,2.6,1.2,0,2.27,0,1,0,0,0,0,0,0,0,1,1,3.7
Henderson,Henderson Police Department,,1,,,,3,1,5,"257,729","12,471","177,039","1,182","18,172","1,354",19526,479,"8,655","38,377","274,121",20.75,452,3,1.6,1.1,2.8,0,2.4,3.7,0,1.54,1,0,1,0,0,0,1,1,4,1,3.9
Honolulu,Honolulu Police Department,,3,,1,6,4,3,17,"337,256","4,642","55,762",517,"182,792","27,346",210138,512,"47,384","18,301","337,256",30.28,"2,605",16,7.7,4.7,7.2,0,10.2,23.4,0,2.29,1,0,0,1,0,0,6,1,3,2,5.9
Houston,Houston Police Department,31,15,,1,,7,3,57,"2,099,451","485,956","537,901","3,528","124,859",711,125570,"4,128","22,700","919,668","2,219,933",68.57,"22,008",242,9.9,10.9,3.9,9.1,1.9,2.3,4.9,1.25,0,0,0,0,0,0,0,1,1,16,7.6
Indianapolis,Indianapolis Metropolitan Police Department,13,,,,,11,1,25,"820,445","223,053","480,960","1,760","17,053",274,17327,"2,123","17,870","77,352","858,238",55.87,"10,768",136,12.5,15.8,4.4,8.3,3.3,0,2.55,0,0,0,0,1,0,0,0,0,1,11,13.4
Irvine,Irvine Police Department,,,,,,,,0,"212,375","3,494","95,822",199,"82,722",295,83017,554,"9,668","19,621","242,971",18.75,120,0,0.5,0,0,0,0,0,20,20,0,0,1,1,0,0,0,1,3,0,0
Irving,Irving Police Department,2,2,,1,,2,,7,"216,290","25,550","66,559",807,"30,161",221,30382,434,"3,591","88,967","231,708",36.65,512,5,2.2,2.2,4.6,11.2,4.3,3.2,2.61,0.75,0,0,0,0,0,0,0,0,0,2,9.2
Jacksonville,Jacksonville Sheriff's Office,20,,,,,13,3,36,"821,784","247,516","452,525","2,687","34,731",668,35399,"1,949","18,223","63,485","856,021",47.54,"5,853",96,6.8,11.2,6.3,11.5,4.1,0,2.81,0,0,1,0,1,0,0,0,1,3,8,9.7
Kansas City Missouri,Kansas City Police Department,15,,,,1,6,3,25,"459,787","135,916","252,257","1,823","11,275",787,12062,709,"11,067","45,953","468,417",62.23,"5,862",78,12.5,16.7,7.8,15.8,3.4,0,4.64,0,0,0,0,0,0,0,0,0,0,3,6.5
Laredo,Laredo Police Department,,7,,,,1,,8,"236,091",478,"8,086",87,"1,313",11,1324,121,245,"225,750","250,994",29.02,976,14,3.9,5.6,4.8,0,17.7,4.4,0,0.25,0,0,0,1,0,0,1,1,3,2,8.5
Las Vegas,Las Vegas Metropolitan Police Department,11,10,1,1,,26,4,53,"2,027,868","62,008","279,703","2,391","34,606","3,103",37709,"1,101","16,985","183,859","1,530,899",32.44,"12,876",122,8.4,8,3.7,25.3,13.3,7.8,1.91,0.59,1,0,1,1,0,0,0,1,4,13,6.4
Lexington,Lexington Police Department,1,,,,,3,,4,"295,803","42,336","216,072",599,"9,506",107,9613,546,"6,163","20,474","311,848",40.93,"1,041",20,3.3,6.4,1.9,3.4,2,0,1.7,0,0,0,0,0,0,1,1,1,3,0,0
Lincoln,Lincoln Police Department,1,,,,,1,,2,"258,379","9,541","214,739","1,611","9,711",128,9839,353,"6,114","16,182","271,208",32.16,918,7,3.4,2.6,1.1,15,0.7,0,22.51,0,1,0,0,1,0,0,1,1,4,2,7.7
Los Angeles,Los Angeles Police Department,25,61,,2,,19,6,113,"3,792,621","347,380","1,086,908","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822","3,906,772",66.91,"19,171",260,4.9,6.7,4.3,10.3,2.5,4.7,4.12,1.9,0,1,1,0,0,0,0,1,3,33,8.7
Louisville,Louisville Metro Police Department,9,,,1,,6,3,19,"597,337","135,138","408,157","1,289","12,764",347,13111,"1,018","11,834","26,790","677,710",55.44,"4,005",56,5.9,8.3,4.5,9.5,2.1,0,4.53,0,1,0,0,1,1,0,1,1,5,2,3.3
Lubbock,Lubbock Police Department,,3,,,,1,,4,"229,573","18,744","127,915",845,"5,471",147,5618,241,"2,585","73,625","241,826",47.23,"2,084",12,8.6,5,2.5,0,1.1,5.8,0,5.21,0,0,0,0,0,0,1,1,1,0,0
Madison,Madison Police Department,2,,,,,4,,6,"233,209","16,507","176,463",763,"17,126",67,17193,374,"5,961","15,948","245,788",36.64,846,7,3.4,2.8,3.7,17.3,3.2,0,5.35,0,0,1,0,1,0,0,1,1,4,2,8.6
Mesa,Mesa Police Department,,7,1,,,13,2,23,"439,041","14,101","282,505","8,359","8,174","1,532",9706,555,"8,062","115,753","462,092",29.54,"2,119",13,4.6,2.8,7.5,0,6.6,8.6,0,1.31,0,0,0,1,0,0,0,1,2,7,15.9
Miami,Miami Police Department,2,8,,,,,1,11,"399,457","64,993","47,622",361,"3,649",58,3707,676,"2,642","279,456","421,996",75.53,"4,473",81,10.6,19.2,3.9,4.4,0,4.1,20,20,0,1,1,1,1,0,1,1,6,4,10
Milwaukee,Milwaukee Police Department,12,,,,,1,,13,"594,833","233,325","220,219","3,408","20,553",195,20748,819,"13,307","103,007","600,374",70.11,"8,864",90,14.8,15,3.1,7.3,0.6,0,11.33,0,6,0,1,1,0,0,0,1,3,2,3.4
Minneapolis,Minneapolis Police Department,4,2,,,,1,,7,"382,578","69,971","230,650","6,351","21,399",168,21567,962,"13,004","40,073","404,461",50.92,"4,093",31,10.1,7.7,2.6,8.2,0.6,7.1,13.19,11.51,0,0,0,0,0,0,0,1,1,2,5.2
Nashville,Metropolitan Nashville Police Department,6,2,,,,3,,11,"601,222","169,272","338,782","1,418","18,497",275,18772,"1,155","11,433","60,390","647,689",49.16,"7,270",41,11.2,6.3,2.6,5.1,1.3,4.7,4,3.74,0,0,0,1,0,0,1,1,3,3,5
New Orleans,New Orleans Police Department,7,,,,,2,,9,"343,829","204,866","104,770",827,"9,883",105,9988,967,"4,360","18,051","387,113",67.63,"3,770",150,9.7,38.7,3.7,4.9,2.7,0,1.79,0,1,1,1,0,1,1,0,1,6,4,11.6
New York,New York Police Department,44,10,,1,,11,5,71,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076","8,473,938",81.41,"50,564",333,6,3.9,1.2,3.4,0.6,0.6,5.85,1.06,0,0,1,1,1,0,1,1,5,16,2
Newark,Newark Police Department,7,1,,,,1,1,10,"277,140","138,074","32,122",713,"4,318",68,4386,"3,899","4,200","93,746","279,110",71.19,"3,008",93,10.8,33.3,5.2,7.2,4.4,1.5,1.63,0.34,0,0,1,1,0,0,1,1,4,2,7.2
Norfolk,Norfolk Police Department,7,,,,,5,,12,"242,803","102,452","107,463",935,"7,861",359,8220,471,"7,118","16,144","247,078",50.8,"1,280",31,5.2,12.5,7.1,9.8,6.6,0,1.47,0,1,0,0,0,0,0,0,1,21,5,20.6
North Las Vegas,North Las Vegas Police Department,2,2,,,,2,,6,"216,961","41,561","67,687",871,"13,122","1,684",14806,377,"7,525","84,134","229,436",27.1,"1,782",12,7.8,5.2,4,6.9,4.2,3.4,1.63,0.8,0,0,0,0,0,0,1,0,1,2,9.2
Oakland,Oakland Police Department,7,,,1,,1,1,10,"390,724","106,637","101,308","1,214","65,127","2,081",67208,"1,213","14,076","99,068","409,994",51.89,"6,910",80,16.9,19.5,3.7,9.4,1.4,0,6.65,0,1,0,1,0,0,1,1,1,5,5,12.8
Oklahoma City,Oklahoma City Police Department,20,7,3,,,14,,44,"579,999","85,744","328,582","18,208","23,051",464,23515,700,"23,212","100,038","617,975",46.73,"4,782",45,7.7,7.3,10.8,33.3,6.1,10,5.47,1.64,0,0,0,1,0,0,0,1,2,12,20.7
Omaha,Omaha Police Department,5,1,1,,,8,,15,"408,958","55,128","278,172","2,263","9,889",253,10142,806,"8,894","53,553","438,465",58.03,"2,458",32,5.6,7.3,5.2,13,4.1,2.7,3.15,0.65,0,0,0,1,0,0,0,1,2,6,14.7
Orlando,Orlando Police Department,9,5,,1,,4,1,20,"238,300","63,584","98,533",483,"8,756",130,8886,"1,688","4,643","60,483","259,675",60.99,"2,340",15,9,5.8,12,20.2,5.8,11.8,3.49,2.04,0,0,0,0,0,0,0,1,1,6,25.2
Philadelphia,Philadelphia Police Department,20,,,,,4,10,34,"1,526,006","644,287","562,585","3,498","95,521",457,95978,"4,105","27,942","187,611","1,559,062",73.35,"15,925",248,10.2,15.9,3.2,4.4,1,0,4.37,0,1,1,1,1,1,0,1,1,7,4,2.6
Phoenix,Phoenix Police Department,13,33,4,,,37,12,99,"1,445,632","86,788","672,573","23,327","43,894","2,055",45949,"2,242","24,876","589,877","1,529,852",49.89,"8,749",114,5.7,7.5,9.8,21.4,7.9,8,2.72,1.02,0,0,1,1,0,0,0,1,3,18,12.5
Pittsburgh,Pittsburgh Police Department,5,,,,,1,,6,"305,704","78,847","198,186",505,"13,393",76,13469,843,"6,890","6,964","307,613",56.55,"2,455",69,8,22.4,2.8,9.1,0.7,0,12.57,0,1,0,0,0,0,0,0,1,2,2,6.5
Plano,Plano Police Department,,1,,,,1,,2,"259,841","19,199","151,629",831,"43,659",121,43780,449,"5,779","38,174","277,822",26.4,459,4,1.7,1.4,1.1,0,0.9,3.7,0,3.97,0,1,0,1,0,1,1,1,5,0,0
Portland,Portland Police Bureau,3,1,,,,9,,13,"583,776","35,462","421,773","4,381","41,335","2,978",44313,"1,299","21,708","54,840","615,672",38.64,"2,911",26,4.7,4.2,3.2,12.1,3,2.6,3.96,0.85,0,0,0,1,0,1,0,1,3,3,5.1
Raleigh,Raleigh Police Department,3,,,,,1,,4,"403,892","115,976","215,204","1,019","17,309",139,17448,828,"7,549","45,868","428,993",50.26,"1,683",12,3.9,2.8,1.4,3.7,0.7,0,5.57,0,0,0,1,1,0,1,1,1,5,1,2.5
Reno,Reno Police Department,3,5,,,,4,1,13,"225,221","5,990","140,752","2,066","13,913","1,505",15418,441,"5,914","54,640","235,055",32.08,"1,147",15,4.9,6.4,8.2,71.5,4.1,13.1,17.62,3.22,0,0,0,0,0,0,0,0,0,41,17.8
Riverside,Riverside Police Department,3,5,,,,,,8,"303,871","19,917","103,398","1,297","21,934","1,019",22953,617,"6,736","148,953","319,453",25.41,"1,384",12,4.3,3.8,3.8,21.5,0,4.8,20,20,1,0,0,1,0,0,0,1,3,0,0
Rochester,Rochester Police Department,3,,,,,1,,4,"210,565","83,346","79,178",666,"6,350",77,6427,392,"6,100","34,456","210,347",51.59,"1,765",27,8.4,12.8,2.7,5.1,1.8,0,2.85,0,0,0,0,0,0,0,0,1,1,2,9.5
San Antonio,San Antonio Police Department,8,16,,1,,8,6,39,"1,327,407","83,365","353,106","2,771","30,596","1,097",31693,"2,105","15,415","838,952","1,428,465",43.08,"7,704",103,5.4,7.2,4.2,13.7,3.2,2.7,4.24,0.84,1,0,1,0,0,0,0,1,3,10,7.5
San Bernardino,San Bernardino Police Department,,5,,,,3,1,9,"209,924","29,897","39,977",867,"8,027",704,8731,361,"4,097","125,994","214,588",33.1,"2,128",43,9.9,20,6.1,0,10.7,5.7,0,0.53,1,0,1,1,0,0,0,1,4,3,14.3
San Diego,San Diego Police Department,2,7,,4,,12,2,27,"1,307,402","82,497","589,702","3,545","204,347","5,178",209525,"3,293","42,820","376,020","1,368,690",54.57,"5,214",32,3.8,2.3,3,3.5,2.9,2.7,1.19,0.91,0,0,0,1,0,0,0,1,2,9,6.9
San Francisco,San Francisco Police Department,5,7,,1,1,6,,20,"805,235","46,781","337,451","1,828","265,700","3,128",268828,"2,494","26,079","121,774","850,294",52.76,"6,761",45,8,5.3,3.5,15.3,2.5,8.2,6.01,3.23,0,0,0,1,0,1,0,1,3,10,12.4
San Jose,San Jose Police Department,1,10,,1,1,4,1,18,"945,942","27,508","271,382","2,255","300,022","3,492",303514,"1,820","25,827","313,636","1,009,679",36.76,"3,242",32,3.2,3.2,2.7,5.2,2.1,4.6,2.47,2.16,0,0,0,0,0,0,0,1,1,8,8.5
Santa Ana,Santa Ana Police Department,1,10,,1,,2,3,17,"324,528","3,177","29,950",507,"33,618",826,34444,375,"2,147","253,928","336,462",24.48,"1,260",18,3.7,5.3,7.5,45,9.5,5.6,4.71,0.59,0,0,0,1,0,0,0,1,2,4,12.3
Scottsdale,Scottsdale Police Department,1,1,,,,4,2,8,"217,385","3,484","182,011","1,462","7,128",189,7317,276,"3,610","19,225","225,523",23.46,337,4,1.5,1.8,5.3,41,3.1,7.4,13.06,2.37,0,0,0,1,0,0,0,1,2,1,4.6
Seattle,Seattle Police Department,4,1,1,2,1,9,3,21,"608,660","47,113","403,578","3,881","83,537","2,246",85783,"1,464","26,512","40,329","663,410",51.68,"4,001",26,6,3.9,4.9,12.1,3.2,3.5,3.81,1.11,1,1,1,1,0,1,0,1,6,4,6.6
Spokane,Spokane Police Department,1,,2,,,10,,13,"208,916","4,643","175,482","3,663","5,266","1,152",6418,281,"7,962","10,467","211,025",21.73,"1,156",10,5.5,4.7,8.9,30.8,8.1,0,3.78,0,0,0,1,1,0,0,0,1,3,3,14.4
St. Louis,St. Louis Metropolitan Police Department,29,,,,,3,1,33,"319,294","156,389","134,702",684,"9,233",62,9295,478,"6,616","11,130","318,574",65.28,"5,348",159,16.8,49.9,14.8,26.5,3.2,0,8.33,0,0,0,0,1,1,0,1,1,4,6,18.8
St. Paul,St. Paul Police Department,4,1,2,2,,4,,13,"285,068","43,620","159,437","2,316","42,494",120,42614,494,"9,276","27,311","297,984",43.44,"1,974",11,6.6,3.7,6.5,13.1,3.6,5.2,3.66,1.46,1,1,1,1,0,1,1,1,7,5,17.5
St. Petersburg,St. Petersburg Police Department,2,,,,,8,,10,"244,769","57,489","157,409",567,"7,672",106,7778,539,"4,773","16,214","250,772",65.7,"2,169",19,8.6,7.6,5.8,5,7.3,0,0.68,0,1,1,0,1,1,0,1,1,6,1,4.1
Stockton,Stockton Police Department,4,7,,1,1,3,1,17,"291,707","33,507","66,836","1,237","60,323","1,622",61945,470,"10,122","117,590","299,519",37.25,"3,988",49,13.3,16.4,8.3,17.1,6.4,8.5,2.66,1.33,0,0,0,0,0,0,0,0,0,7,24
Tampa,Tampa Police Department,4,,,2,,3,,9,"335,709","83,032","155,552",755,"11,362",207,11569,794,"6,535","77,472","357,124",58.69,"2,080",28,5.8,7.8,3.8,6.9,2.8,0,2.5,0,0,0,0,0,0,0,0,1,1,4,11.9
Toledo,Toledo Police Department,3,,,,,5,,8,"287,208","76,820","176,468",755,"3,204",64,3268,522,"8,144","21,231","281,150",53.45,"3,068",24,10.9,8.5,4,5.6,4,0,1.38,0,0,0,0,1,0,0,0,1,2,1,3.5
Tucson,Tucson Police Department,2,9,,,,9,5,25,"520,116","23,362","245,323","8,776","14,211",951,15162,792,"10,393","216,308","525,486",25.65,"3,368",47,6.4,8.9,6.9,12.2,5.2,5.9,2.33,1.13,0,0,0,0,1,0,1,1,3,6,11.5
Tulsa,Tulsa Police Department,5,2,,1,,15,,23,"391,906","61,230","227,021","19,473","8,926",278,9204,473,"19,239","55,266","399,556",49.79,"3,217",46,8.1,11.5,8.4,11.7,9.4,5.2,1.24,0.55,0,1,0,1,0,0,0,1,3,3,7.7
Virginia Beach,Virginia Beach Police Department,2,,,,,1,1,4,"437,994","83,210","282,470","1,349","26,312",602,26914,863,"14,201","28,987","451,102",36.36,660,17,1.5,3.8,1.3,3.4,0.5,0,6.79,0,0,1,1,1,0,1,0,0,4,2,4.6
Washington,DC Metropolitan Police Department,15,,,,,1,1,17,"601,723","301,053","209,464","1,322","20,818",216,21034,"1,451","12,650","54,749","658,893",72.18,"7,810",105,11.9,15.9,4,7.1,0.7,0,10.44,0,1,1,0,1,1,1,1,1,7,4,6.6
Wichita,Wichita Police Department,1,3,,,,7,,11,"382,368","42,676","246,744","3,424","18,272",311,18583,472,"12,121","58,348","386,486",49.27,"3,065",15,7.9,3.9,4.1,3.3,4.1,7.3,0.83,1.81,0,0,0,1,0,1,0,1,3,2,5.2
Winston-Salem,Winston-Salem Police Department,3,,,,,1,,4,"229,617","78,065","108,222",567,"4,536",138,4674,535,"3,801","33,753","238,082",50.44,"1,696",13,7.1,5.5,2.5,5.5,1.3,0,4.16,0,1,0,0,1,0,1,0,1,4,1,4.4